Transaction No.,Vendor Name, Category ,Amount
8001765422,GREENFIELDS RES CARE HOMES LTD,Temporary Accommodation,"£3,985.72"
8001763878,MAGICARE LTD,Temporary Accommodation,"£3,985.72"
8001754764,FOCUS ON FOSTERING LTD,Children and Education,"£3,968.62"
1900798935,PRESCOTT THOMAS LTD,Food and Drink,"£3,960.91"
1900799581,ALCOHOL CONCERN,Public Health,"£3,960.00"
8001764087,NEWNTON HOUSE RESIDENTIAL PROJECT,Temporary Accommodation,"£3,959.14"
8001733141,VINEYARD (UK) SERVICES LTD,Social care,"£3,946.80"
5201134379,BEST BEGINNINGS,Communication,"£3,940.00"
1900799999,THE BRIAN WILTON FUNERAL HOME,General,"£3,933.60"
8001764078,REDACTED PERSONAL DATA,Temporary Accommodation,"£3,920.41"
8001764081,REDACTED PERSONAL DATA,Temporary Accommodation,"£3,920.41"
8001730422,OASIS CARE & TRAINING AGENCY,Social care,"£3,920.00"
8001764116,PRUDENTIAL CARE HOME LTD,Temporary Accommodation,"£3,916.36"
8001728482,PRECIOUS HOMES LTD,Temporary Accommodation,"£3,916.36"
8001763221,PRECIOUS HOMES LTD,Temporary Accommodation,"£3,916.36"
8001727413,OUTLOOK FOSTERING SERVICES LTD,Children and Education,"£3,913.89"
8001735541,EAST THAMES GROUP,Social care,"£3,902.64"
8001765325,CASCADE CARE LTD,Temporary Accommodation,"£3,901.58"
8001735370,CHILDREN FIRST FOSTERING AGENCY LTD,Children and Education,"£3,899.57"
1900798976,PRESCOTT THOMAS LTD,Food and Drink,"£3,883.07"
8001734121,VINEYARD (UK) SERVICES LTD,Social care,"£3,880.00"
8001743041,TURKISH CYPRIOT COMMUNITY ASSN.,Social care,"£3,864.00"
1900798962,DOCUMENT TECHNOLOGY LIMITED,Communication,"£3,861.00"
5201133142,CHK LTD,IT and Telecoms,"£3,850.50"
1900799838,REDACTED PERSONAL DATA,General,"£3,850.00"
8001764089,SUNRISE OPERATIONS SOLIHULL LTD,Temporary Accommodation,"£3,843.12"
8001754685,FOSTER CARE ASSOCIATES LIMITED,Children and Education,"£3,841.21"
8001736121,PERSON CENTRED CARE HOMES DAY OPPS,Social care,"£3,840.00"
5201133822,TEAM (ENERGY AUDITING AGENCY LTD),Energy and Utilities,"£3,834.72"
5201133306,REDACTED PERSONAL DATA,Sport and Leisure,"£3,829.40"
5201134590,SWEETT (UK) LIMITED,"Construction, Property and Fac Man","£3,826.01"
8001754787,NEXT STEP FOSTERING SERVICES LTD,Children and Education,"£3,804.14"
8001754575,NEXT STEP FOSTERING SERVICES LTD,Children and Education,"£3,804.14"
5201134262,CYCLING INSTRUCTOR LTD,Learning and Development,"£3,801.00"
5201134614,RINGWAY JACOBS LIMITED,Public Realm,"£3,798.00"
1900799939,YESODEY HATORAH PRIMARY BOYS' SCHOO,Children and Education,"£3,796.00"
5201135539,PENNA PLC,People and Recruitment,"£3,770.00"
8001763281,PRECIOUS HOMES LTD,Social care,"£3,764.29"
8001719712,THE JENNIFER HOME,Temporary Accommodation,"£3,764.29"
8001728561,PRECIOUS HOMES LTD,Social care,"£3,764.29"
8001754775,ISLINGTON COUNCIL,Children and Education,"£3,764.28"
8001765392,ESSEX CARE CONSORTIUM LTD,Temporary Accommodation,"£3,764.28"
8001761435,GLENHOLME MENTAL HEALTHCARE LIMITED,Temporary Accommodation,"£3,764.28"
8001764197,MAGICARE LTD,Temporary Accommodation,"£3,764.28"
8001765414,BELMONT HOUSE CARE HOME,Temporary Accommodation,"£3,764.28"
8001765456,DRS CARE HOMES LTD,Temporary Accommodation,"£3,764.28"
8001764211,SANDHURST LODGE LTD,Temporary Accommodation,"£3,764.28"
8001761361,MAPLE CARE AND SUPPORT SERVICES LTD,Temporary Accommodation,"£3,764.28"
8001761783,THE JENNIFER HOME,Temporary Accommodation,"£3,764.28"
1900799605,THE WHITTINGTON HOSPITAL NHS TRUST,Children and Education,"£3,763.00"
8001765535,DRS CARE HOMES LTD,Temporary Accommodation,"£3,756.30"
5201135540,IRG ADVISORS LLP,People and Recruitment,"£3,750.00"
1900799567,CSG (USHERS) LIMITED,"Construction, Property and Fac Man","£3,750.00"
5201134549,KNOWLEDGE SUPPORT LEARNING CIC,Learning and Development,"£3,750.00"
5201134996,AECOM LTD,People and Recruitment,"£3,750.00"
5201134108,HARINGEY ADVISORY GRP ON ALCOHOL,Social care,"£3,750.00"
8001735861,PERSON CENTRED CARE HOMES DAY OPPS,Social care,"£3,748.00"
8001761282,RESIDENTIAL CARE SERVICES LTD,Temporary Accommodation,"£3,737.18"
1900800645,PLEXUS CLIENT ACCOUNT,Finance,"£3,732.00"
8001764058,THE ROLAND RESIDENTIAL CARE HOME,Temporary Accommodation,"£3,721.78"
8001761345,FAMILY MOSAIC,Temporary Accommodation,"£3,720.88"
8001735372,PARENT & CHILD FOSTERING SERVICE,Children and Education,"£3,710.57"
8001724701,BIKUR CHOLIM LTD,Social care,"£3,709.20"
5201135388,CGI IT UK LIMITED,IT and Telecoms,"£3,697.29"
8001765296,BETHEL CARE SERVICES LTD,Temporary Accommodation,"£3,695.15"
5201133216,PENNA PLC,General,"£3,688.80"
8001764048,L' ARCHE LAMBETH,Temporary Accommodation,"£3,688.25"
8001765549,ASHNESS CARE LTD,Temporary Accommodation,"£3,684.22"
1900799937,YESODEY HATORAH PRIMARY BOYS' SCHOO,Children and Education,"£3,673.50"
8001754783,CHILDREN FIRST FOSTERING AGENCY LTD,Children and Education,"£3,671.28"
8001754752,NEXT STEP FOSTERING SERVICES LTD,Children and Education,"£3,659.29"
8001754620,ETHELBERT SPECIALIST HOMES LTD,Children and Education,"£3,658.80"
8001761450,MAPLE CARE AND SUPPORT SERVICES LTD,Temporary Accommodation,"£3,653.58"
5201135248,FINSBURY CYCLES LTD,Transport & Travel,"£3,650.00"
1900799303,ANTALIS MCNAUGHTON LIMITED,Communication,"£3,648.70"
8001754589,FUTURES FOR CHILDREN LIMITED,Children and Education,"£3,639.40"
8001754759,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,631.34"
8001761296,BLUE OPAL LIMITED,Temporary Accommodation,"£3,631.11"
1900799556,DSI BILLING SERVICES,General,"£3,617.96"
8001763836,LANCAM NURSING HOME,Temporary Accommodation,"£3,613.98"
8001754758,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,608.40"
1900798841,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£3,602.86"
8001765303,ASHLEY HOUSE,Temporary Accommodation,"£3,593.83"
8001754695,FOSTERCARE UK LTD,Children and Education,"£3,591.58"
8001754743,DIVERSE CARE (UK) LTD,Children and Education,"£3,588.87"
8001754596,BRIGHTER FUTURES FOSTER CARE LTD,Children and Education,"£3,588.87"
8001754638,FUTURES FOR CHILDREN LIMITED,Children and Education,"£3,587.32"
8001750121,CHRISTIES CARE LTD,Social care,"£3,572.00"
5201135053,THE STAUNTON GROUP PRACTICE,Public Health,"£3,570.98"
8001754781,OUTLOOK FOSTERING SERVICES LTD,Children and Education,"£3,568.54"
1900798901,THAMES WATER UTILITIES LTD,Energy and Utilities,"£3,565.09"
8001766101,NTEC SUPPORT SERVICES LTD,Temporary Accommodation,"£3,560.00"
1900799693,VAROSI ESTATES LIMITED,Temporary Accommodation,"£3,558.18"
8001754631,CORE ASSETS FOSTERING LTD,Children and Education,"£3,555.93"
8001754629,CORE ASSETS FOSTERING LTD,Children and Education,"£3,555.93"
8001754586,FOCUS ON FOSTERING LTD,Children and Education,"£3,554.46"
8001754681,FOCUS ON FOSTERING LTD,Children and Education,"£3,553.97"
8001754682,FOCUS ON FOSTERING LTD,Children and Education,"£3,553.97"
8001754673,FOSTER CARE ASSOCIATES LIMITED,Children and Education,"£3,551.72"
8001754672,FOSTER CARE ASSOCIATES LIMITED,Children and Education,"£3,551.72"
8001765300,DEAF INITELY INDEPENDENT,Social care,"£3,545.91"
8001764159,QUINTUS HOUSING TRUST,Temporary Accommodation,"£3,545.39"
8001761358,MCCH SOCIETY LTD,Temporary Accommodation,"£3,543.97"
8001765555,DRS CARE HOMES LTD,Temporary Accommodation,"£3,542.86"
8001719728,TOSH RESIDENTIAL LODGE,Temporary Accommodation,"£3,542.86"
8001764080,PRECIOUS HOMES LTD,Temporary Accommodation,"£3,542.86"
8001765497,DRS CARE HOMES LTD,Temporary Accommodation,"£3,542.86"
8001765415,DRS CARE HOMES LTD,Temporary Accommodation,"£3,542.86"
8001765273,DRS CARE HOMES LTD,Temporary Accommodation,"£3,542.86"
8001765408,DRS CARE HOMES LTD,Temporary Accommodation,"£3,542.86"
8001761337,MAPLE CARE AND SUPPORT SERVICES LTD,Temporary Accommodation,"£3,542.86"
8001765528,SCIMITAR CARE HOTELS PLC,Temporary Accommodation,"£3,542.86"
8001765272,DRS CARE HOMES LTD,Temporary Accommodation,"£3,542.86"
8001754714,FAMILIES FOR CHILDREN (SOUTH) LTD,Children and Education,"£3,542.68"
5201134676,ON TIME PARKING SOLUTIONS,Public Realm,"£3,540.00"
8001738587,WATERFALL HOUSE LTD,Temporary Accommodation,"£3,540.00"
8001763911,CARE UK COMMUNITY PARTNERSHIPS LTD,Temporary Accommodation,"£3,538.03"
8001763875,ROSEDENE NURSING HOME,Temporary Accommodation,"£3,534.93"
8001765416,MAPLE CARE AND SUPPORT SERVICES LTD,Temporary Accommodation,"£3,533.77"
5201134029,UPSONS,General,"£3,523.70"
8001761327,SOMERSET VILLA RESIDENTIAL CARE HOM,Temporary Accommodation,"£3,523.38"
8001727414,OUTLOOK FOSTERING SERVICES LTD,Children and Education,"£3,522.50"
8001754619,24 SEVEN FOSTERING SERVICES LTD,Children and Education,"£3,520.72"
8001754767,AFFINITY FOSTERING SERVICE LTD,Children and Education,"£3,520.72"
8001754656,24 SEVEN FOSTERING SERVICES LTD,Children and Education,"£3,520.72"
8001754618,24 SEVEN FOSTERING SERVICES LTD,Children and Education,"£3,520.72"
8001754577,BLUE SKY FOSTERING LIMITED,Children and Education,"£3,517.26"
8001765455,ROCKLEY DENE HOMES LTD T/A CANDLE C,Temporary Accommodation,"£3,514.08"
1900799750,HOMES FOR HARINGEY LIMITED,General,"£3,511.00"
8001763661,OAK TREE CARE SERVICES LIMITED,Temporary Accommodation,"£3,510.36"
5201134721,FRANKHAM CONSULTANCY GROUP LTD,Public Realm,"£3,500.00"
1900800039,REDACTED PERSONAL DATA,Legal,"£3,500.00"
1900800177,DWF LLP CLIENT ACCOUNT,Finance,"£3,500.00"
8001761339,MAPLE CARE AND SUPPORT SERVICES LTD,Temporary Accommodation,"£3,498.58"
1900800080,MOYGLEN CONSTRUCTION LTD,"Construction, Property and Fac Man","£3,495.50"
1900798872,STUF STRATEGIC URBAN FUTURES,People and Recruitment,"£3,493.28"
1900799964,INDEPENDENT BUSINESS SERVICES LTD,People and Recruitment,"£3,489.00"
8001749501,ADELAIDE CARE LTD,Social care,"£3,488.45"
1900799336,HOMES FOR HARINGEY LIMITED,Finance,"£3,484.65"
8001731381,HARINGEY MENCAP LIMITED,Social care,"£3,484.39"
8001731361,HARINGEY MENCAP LIMITED,Social care,"£3,484.39"
8001731421,HARINGEY MENCAP LIMITED,Social care,"£3,484.39"
8001719261,KISHARON,"Construction, Property and Fac Man","£3,482.10"
8001764204,NAZARETH CARE CHARITABLE TRUST,Social care,"£3,480.86"
8001736142,PERSON CENTRED CARE HOMES DAY OPPS,Social care,"£3,480.00"
8001764045,SHERRINGHAM LODGE,Temporary Accommodation,"£3,477.50"
8001754644,THE FOSTERING FOUNDATION LTD,Children and Education,"£3,476.42"
8001754643,THE FOSTERING FOUNDATION LTD,Children and Education,"£3,476.42"
1900799885,PRESCOTT THOMAS LTD,Food and Drink,"£3,474.73"
8001744001,THE REGARD PARTNERSHIP LIMITED,Temporary Accommodation,"£3,473.02"
8001764144,PRIORY GROUP LIMITED,Temporary Accommodation,"£3,472.88"
8001754679,FOCUS ON FOSTERING LTD,Children and Education,"£3,472.00"
8001754566,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,471.43"
1900799340,HOMES FOR HARINGEY LIMITED,Finance,"£3,467.64"
8001747321,PREMIER CAREWAITING LTD,Social care,"£3,459.40"
8001743901,PREMIER CAREWAITING LTD,Social care,"£3,459.40"
8001754772,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£3,454.28"
8001765428,BLOSSOM COMMUNITY CARE,Temporary Accommodation,"£3,454.28"
8001754564,NEXT STEP FOSTERING SERVICES LTD,Children and Education,"£3,441.31"
8001761731,ST ELIZABETHS CENTRE,Social care,"£3,441.05"
8001719660,ST ELIZABETHS CENTRE,Social care,"£3,441.04"
8001754709,SUPPORTED FOSTERING SERVICES,Children and Education,"£3,439.99"
8001754649,SUPPORTED FOSTERING SERVICES,Children and Education,"£3,439.99"
8001754650,SUPPORTED FOSTERING SERVICES,Children and Education,"£3,439.99"
8001754597,SUPPORTED FOSTERING SERVICES,Children and Education,"£3,439.84"
8001754702,SUPPORTED FOSTERING SERVICES,Children and Education,"£3,439.76"
8001754614,SUPPORTED FOSTERING SERVICES,Children and Education,"£3,437.05"
8001754601,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,432.63"
8001754605,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,432.45"
8001754604,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,432.45"
8001754778,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,432.45"
8001754626,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,432.45"
8001754779,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,432.45"
8001754675,FOCUS ON FOSTERING LTD,Children and Education,"£3,432.14"
8001761457,CARE UK COMMUNITY PARTNERSHIPS LTD,Temporary Accommodation,"£3,432.14"
8001754645,INTEGRATED FOSTERING SERVICES LTD,Children and Education,"£3,431.34"
8001754646,INTEGRATED FOSTERING SERVICES LTD,Children and Education,"£3,431.34"
8001747921,MARCUS & MARCUS LTD,Temporary Accommodation,"£3,428.64"
8001754588,FOSTERING OPTIONS LTD,Children and Education,"£3,427.36"
8001728621,ST LUCY CARE SER T/A STEP FORWARD H,Social care,"£3,425.00"
8001762521,AUTISM WEST MIDLANDS,Social care,"£3,424.32"
1900798960,HAMPTON'S RESOURCING,People and Recruitment,"£3,420.00"
8001754678,ACORN FOSTERING SERVICES LIMITED,Children and Education,"£3,410.00"
5201134577,SWEETT (UK) LIMITED,"Construction, Property and Fac Man","£3,400.00"
1900799343,HOMES FOR HARINGEY LIMITED,Finance,"£3,394.63"
8001765412,CONNIFIERS CARE LIMITED,Temporary Accommodation,"£3,387.86"
8001765396,CONNIFIERS CARE LIMITED,Temporary Accommodation,"£3,387.86"
8001754641,GREATER LONDON FOSTERING LTD,Children and Education,"£3,381.87"
8001742741,TURKISH CYPRIOT COMMUNITY ASSN.,Social care,"£3,379.60"
8001763831,BUPA CARE HOMES (ANS) LTD,Temporary Accommodation,"£3,376.83"
8001754676,FOCUS ON FOSTERING LTD,Children and Education,"£3,376.83"
8001754669,FOCUS ON FOSTERING LTD,Children and Education,"£3,376.75"
5201134407,POTTER RAPER PARTNERSHIP,Public Realm,"£3,376.35"
1900800071,ALPHA PLANNING LTD,People and Recruitment,"£3,375.00"
8001754789,FOCUS ON FOSTERING LTD,Children and Education,"£3,370.14"
8001754727,ST CHRISTOPHER'S FELLOWSHIP,Children and Education,"£3,365.72"
8001761331,SOMERSET VILLA RESIDENTIAL CARE HOM,Temporary Accommodation,"£3,365.72"
8001765443,WOODSIDE HOME,Temporary Accommodation,"£3,356.86"
8001725661,DVIP,Children and Education,"£3,350.40"
8001754581,FOSTERCARE UK LTD,Children and Education,"£3,348.93"
8001761796,VENETIA RESIDENTIAL CARE HOME,Temporary Accommodation,"£3,348.00"
8001719725,VENETIA RESIDENTIAL CARE HOME,Temporary Accommodation,"£3,348.00"
8001735383,INTEGRATED SERVICES PROGRAMME,Children and Education,"£3,347.02"
1900799066,STACE LLP,"Construction, Property and Fac Man","£3,343.92"
8001754652,24 SEVEN FOSTERING SERVICES LTD,Children and Education,"£3,343.58"
8001754704,TALAWA FOSTERING SERVICES LTD,Children and Education,"£3,343.58"
8001754651,24 SEVEN FOSTERING SERVICES LTD,Children and Education,"£3,343.58"
8001754572,CHILDREN FIRST FOSTERING AGENCY LTD,Children and Education,"£3,337.46"
1900798959,STACE LLP,"Construction, Property and Fac Man","£3,330.93"
8001754741,CARE ADMIN & MANAGEMENT SERVICE LTD,Children and Education,"£3,328.78"
8001754627,CARE ADMIN & MANAGEMENT SERVICE LTD,Children and Education,"£3,328.78"
8001764074,NAS SERVICES LTD,Social care,"£3,325.37"
5201134722,ING LEASE (UK) LIMITED,General,"£3,322.08"
8001719365,SPRINGDENE NURSING & CARE HOMES LTD,Temporary Accommodation,"£3,321.43"
8001754668,RAINBOW FOSTERING SERVICES LTD,Children and Education,"£3,321.42"
8001765506,DRS CARE HOMES LTD,Temporary Accommodation,"£3,321.42"
8001754607,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,321.42"
8001754636,24 SEVEN FOSTERING SERVICES LTD,Children and Education,"£3,321.42"
8001754621,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,321.42"
8001765466,DRS CARE HOMES LTD,Temporary Accommodation,"£3,321.42"
8001764106,SPRINGDENE NURSING & CARE HOMES LTD,Temporary Accommodation,"£3,321.42"
8001754753,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,321.42"
8001754608,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,321.42"
8001761454,MELROSE HOUSE,Temporary Accommodation,"£3,321.42"
8001754625,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,321.42"
8001754611,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,321.42"
8001765485,SCIMITAR CARE HOTELS PLC,Temporary Accommodation,"£3,321.42"
8001754580,THE FOSTERING FOUNDATION LTD,Children and Education,"£3,321.42"
8001765461,DRS CARE HOMES LTD,Temporary Accommodation,"£3,321.42"
8001754606,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,321.42"
8001761330,SOMERSET VILLA RESIDENTIAL CARE HOM,Temporary Accommodation,"£3,321.42"
8001761326,SOMERSET VILLA RESIDENTIAL CARE HOM,Temporary Accommodation,"£3,321.42"
8001765507,DRS CARE HOMES LTD,Temporary Accommodation,"£3,321.42"
8001754623,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,321.42"
8001765515,DRS CARE HOMES LTD,Temporary Accommodation,"£3,321.42"
8001754748,GREATER LONDON FOSTERING LTD,Children and Education,"£3,319.61"
8001754705,24 SEVEN FOSTERING SERVICES LTD,Children and Education,"£3,317.00"
8001754773,FOSTER CARE LINK LTD,Children and Education,"£3,317.00"
8001754698,24 SEVEN FOSTERING SERVICES LTD,Children and Education,"£3,317.00"
8001724361,ALLFORCARE,Social care,"£3,316.00"
8001754719,GREATER LONDON FOSTERING LTD,Children and Education,"£3,315.58"
8001754720,GREATER LONDON FOSTERING LTD,Children and Education,"£3,315.58"
8001754737,GREATER LONDON FOSTERING LTD,Children and Education,"£3,315.58"
8001754740,GREATER LONDON FOSTERING LTD,Children and Education,"£3,315.58"
8001754642,GREATER LONDON FOSTERING LTD,Children and Education,"£3,315.58"
8001754640,GREATER LONDON FOSTERING LTD,Children and Education,"£3,315.45"
8001754603,GREATER LONDON FOSTERING LTD,Children and Education,"£3,315.45"
8001719864,ALERE CARE LIMITED,"Construction, Property and Fac Man","£3,314.29"
1900799960,HOPEWELL SCHOOL LTD,Children and Education,"£3,307.68"
8001763261,PRECIOUS HOMES LTD,Temporary Accommodation,"£3,304.08"
8001728501,PRECIOUS HOMES LTD,Temporary Accommodation,"£3,304.08"
8001764201,MAGICARE LTD,Temporary Accommodation,"£3,301.50"
1900800072,LONDON BOROUGH OF WALTHAM FOREST,Learning and Development,"£3,300.00"
8001738284,KINGS GROUP LTD T/A KINGS LETTINGS,Temporary Accommodation,"£3,300.00"
8001754765,FOCUS ON FOSTERING LTD,Children and Education,"£3,299.28"
8001764061,NORTH LONDON BIKUR CHOLIM LTD,Social care,"£3,284.84"
1900799074,ALLPAY LIMITED,Finance,"£3,282.02"
200343140,HARINGEY PHOENIX GROUP,Social care,"£3,281.22"
8001754583,FIVE RIVERS CHILD CARE LTD,Children and Education,"£3,277.14"
8001763927,PATERNOSTER HOUSE CARE CENTRE,Temporary Accommodation,"£3,277.14"
8001754632,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,277.14"
8001754584,FIVE RIVERS CHILD CARE LTD,Children and Education,"£3,277.14"
8001754634,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,277.14"
8001754725,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£3,277.14"
8001754599,FIVE RIVERS CHILD CARE LTD,Children and Education,"£3,277.14"
8001754635,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,277.14"
8001754653,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,277.14"
8001754633,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,277.14"
8001763930,ROCKLEY DENE HOMES LTD T/A CANDLE C,Temporary Accommodation,"£3,274.32"
5201135052,THE STAUNTON GROUP PRACTICE,Public Health,"£3,270.98"
8001754761,LINK FOSTERING AGENCY LIMITED,Children and Education,"£3,270.73"
8001754754,LINK FOSTERING AGENCY LIMITED,Children and Education,"£3,270.73"
8001754710,LINK FOSTERING AGENCY LIMITED,Children and Education,"£3,270.73"
8001719699,UNIFIED CARE LTD T/A VICTORIA'S CAR,Temporary Accommodation,"£3,268.91"
8001761770,UNIFIED CARE LTD T/A VICTORIA'S CAR,Temporary Accommodation,"£3,268.90"
1900798812,REDACTED PERSONAL DATA,Temporary Accommodation,"£3,264.16"
8001754742,FOSTER CARE LINK LTD,Children and Education,"£3,256.24"
8001754576,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£3,255.00"
8001754721,SUPPORTED FOSTERING SERVICES,Children and Education,"£3,255.00"
8001754794,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£3,255.00"
8001754770,TALAWA FOSTERING SERVICES LTD,Children and Education,"£3,255.00"
8001754726,ALLIANCE FOSTER CARE LIMITED,Children and Education,"£3,255.00"
8001754745,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£3,255.00"
8001754755,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£3,255.00"
8001754697,TALAWA FOSTERING SERVICES LTD,Children and Education,"£3,255.00"
8001765462,CHITIMALI LOCUM MEDICAL LIMITED,Temporary Accommodation,"£3,254.56"
8001754593,GREATER LONDON FOSTERING LTD,Children and Education,"£3,254.38"
1900799710,PLEXUS LAW (OFFICE ACCOUNT),Finance,"£3,253.40"
200342672,HARINGEY PHOENIX GROUP,Social care,"£3,250.74"
8001732121,VINEYARD (UK) SERVICES LTD,Social care,"£3,250.60"
1900799639,IPEOPLE SERVICES LIMITED,People and Recruitment,"£3,250.00"
8001761458,MAISON MOTI LTD,Temporary Accommodation,"£3,248.36"
8001765539,ENHAM,Temporary Accommodation,"£3,243.84"
8001754615,RYANCARE FOSTERING LTD,Children and Education,"£3,232.99"
8001754688,RYANCARE FOSTERING LTD,Children and Education,"£3,232.86"
8001754693,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,232.86"
8001754771,INTEGRATED FOSTERING SERVICES LTD,Children and Education,"£3,232.86"
8001754732,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,232.86"
8001754708,HILLCREST CARE SERVICES LTD,Children and Education,"£3,232.86"
8001754734,CARE ADMIN & MANAGEMENT SERVICE LTD,Children and Education,"£3,232.86"
8001754637,CARE ADMIN & MANAGEMENT SERVICE LTD,Children and Education,"£3,232.86"
8001754622,RYANCARE FOSTERING LTD,Children and Education,"£3,232.86"
8001754574,HILLCREST CARE SERVICES LTD,Children and Education,"£3,232.86"
8001754630,RYANCARE FOSTERING LTD,Children and Education,"£3,232.86"
8001754733,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,232.86"
8001754674,24 SEVEN FOSTERING SERVICES LTD,Children and Education,"£3,232.86"
8001754703,TALAWA FOSTERING SERVICES LTD,Children and Education,"£3,232.86"
8001754735,CARE ADMIN & MANAGEMENT SERVICE LTD,Children and Education,"£3,232.86"
8001754602,RYANCARE FOSTERING LTD,Children and Education,"£3,232.86"
8001754706,RYANCARE FOSTERING LTD,Children and Education,"£3,232.86"
8001764051,THE SONS OF DIVINE PROVIDENCE,Temporary Accommodation,"£3,232.29"
8001761290,PARADISE HOUSE ASSOCIATION LTD,Temporary Accommodation,"£3,221.65"
8001754782,OUTLOOK FOSTERING SERVICES LTD,Children and Education,"£3,211.68"
8001754766,RYANCARE FOSTERING LTD,Children and Education,"£3,210.72"
8001754717,SUNBEAM FOSTERING AGENCY LTD,Children and Education,"£3,210.72"
8001754563,SUNBEAM FOSTERING AGENCY LTD,Children and Education,"£3,210.72"
8001764082,SPRINGDENE NURSING & CARE HOMES LTD,Temporary Accommodation,"£3,210.72"
8001754718,SUNBEAM FOSTERING AGENCY LTD,Children and Education,"£3,210.72"
8001719341,SPRINGDENE NURSING & CARE HOMES LTD,Temporary Accommodation,"£3,210.71"
5201133051,BRITISH RED CROSS SOCIETY,Learning and Development,"£3,208.80"
8001754659,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,201.86"
8001754567,LINK FOSTERING AGENCY LIMITED,Children and Education,"£3,201.86"
8001754713,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,201.86"
8001754712,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,201.86"
8001754711,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,201.86"
8001754594,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,201.86"
8001745621,KARTEROS LTD T/A ST MARKS DAY SERVI,Social care,"£3,200.00"
8001746641,KARTEROS LTD T/A ST MARKS DAY SERVI,Social care,"£3,200.00"
8001731981,VINEYARD (UK) SERVICES LTD,Temporary Accommodation,"£3,200.00"
8001754724,FOCUS ON FOSTERING LTD,Children and Education,"£3,198.89"
8001735369,CHILDREN FIRST FOSTERING AGENCY LTD,Children and Education,"£3,197.57"
8001763401,PRECIOUS HOMES LTD,Temporary Accommodation,"£3,192.14"
8001754762,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£3,189.90"
8001754756,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£3,189.90"
8001754793,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£3,189.90"
200343139,KURDISH COMMUNITY CENTRE,Social care,"£3,189.68"
200342671,KURDISH COMMUNITY CENTRE,Social care,"£3,189.68"
8001735427,ALERE CARE LIMITED,"Construction, Property and Fac Man","£3,187.15"
8001719663,WESTELM HOMES LIMITED,Temporary Accommodation,"£3,184.59"
8001761734,WESTELM HOMES LIMITED,Temporary Accommodation,"£3,184.58"
8001765433,DRS CARE HOMES LTD,Temporary Accommodation,"£3,179.72"
8001754700,XCEL 2000 FOSTERCARE SERVICES LTD,Children and Education,"£3,179.72"
8001754699,XCEL 2000 FOSTERCARE SERVICES LTD,Children and Education,"£3,179.72"
1900799358,HAMELIN TRUST,General,"£3,172.50"
8001763903,NEW CENTURY CARE (FINCHLEY) LTD,Temporary Accommodation,"£3,167.37"
8001754696,TALAWA FOSTERING SERVICES LTD,Children and Education,"£3,166.42"
8001754592,PHOENIX COMMUNITY CARE LTD,Children and Education,"£3,166.42"
8001754590,PHOENIX COMMUNITY CARE LTD,Children and Education,"£3,166.42"
8001754591,PHOENIX COMMUNITY CARE LTD,Children and Education,"£3,166.42"
8001761315,ROYAL MENCAP SOCIETY,Temporary Accommodation,"£3,162.96"
