 Transaction  No  , Vendor ,Category,Amount
8001798850,ST ELIZABETHS CENTRE,Social care,"£3,108"
8001788481,KISHARON,Social care,"£3,104"
8001798377,CARE UK COMMUNITY PARTNERSHIPS LTD,Temporary Accommodation,"£3,100"
1900800825,ALLPAY LIMITED,Finance,"£3,091"
5201137573,LOGICALIS UK LTD,IT and Telecoms,"£3,082"
8001783521,THE REGARD PARTNERSHIP LIMITED,Temporary Accommodation,"£3,079"
8001774341,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,078"
8001774353,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,078"
8001774325,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,078"
8001774344,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,078"
8001774327,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,078"
8001774355,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,078"
8001774328,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,078"
8001774340,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,078"
8001774330,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,078"
8001774342,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,078"
8001774331,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,078"
8001774321,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,078"
8001774346,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,078"
8001774332,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,078"
8001774354,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,078"
8001774356,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,078"
8001774376,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,078"
8001774360,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,078"
8001774336,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,078"
8001774377,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,078"
8001774369,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,078"
8001774370,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,078"
8001774372,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,078"
8001774338,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,078"
8001774337,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,078"
5201136873,ATKINS LTD,"Construction, Property and Fac Man","£3,074"
8001792041,VINEYARD (UK) SERVICES LTD,Social care,"£3,065"
8001802344,ASPIRE HOUSE,Temporary Accommodation,"£3,064"
200343813,DIMENSIONS (UK) LIMITED,Social care,"£3,061"
8001802017,CONNIFIERS CARE LIMITED,Temporary Accommodation,"£3,060"
8001802033,CONNIFIERS CARE LIMITED,Temporary Accommodation,"£3,060"
8001774357,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,057"
8001774349,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,057"
8001774359,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,057"
8001798676,BUPA CARE HOMES (ANS) LTD,Temporary Accommodation,"£3,050"
8001798252,SOMERSET VILLA RESIDENTIAL CARE HOM,Temporary Accommodation,"£3,040"
8001802064,BAXENDALE WOODSIDE HOME,Temporary Accommodation,"£3,032"
8001770259,SEVACARE (UK) LTD,Social care,"£3,029"
5201135900,PROFESSIONAL VISION SERVISEC LTD,Social care,"£3,025"
8001775521,NEXT STEP SUPPORT LTD,Social care,"£3,025"
8001798915,VENETIA RESIDENTIAL CARE HOME,Temporary Accommodation,"£3,024"
5201136228,PACE FUELCARE LTD,Energy and Utilities,"£3,022"
1900802150,PREMIER CAREWAITING LTD,General,"£3,018"
1900800692,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£3,013"
8001803535,NAS SERVICES LTD,Social care,"£3,004"
8001764581,SHINE PARTNERSHIPS LTD,Social care,"£3,003"
8001776561,ST ALEX LTD,Temporary Accommodation,"£3,002"
8001803567,SPRINGDENE NURSING & CARE HOMES LTD,Temporary Accommodation,"£3,000"
1900801697,ASSURED HOMES LTD,Temporary Accommodation,"£3,000"
8001802124,DRS CARE HOMES LTD,Temporary Accommodation,"£3,000"
1900800838,EZER LEYOLDOS LTD,Children and Education,"£3,000"
1900801680,REDACTED PERSONAL DATA,Temporary Accommodation,"£3,000"
8001792141,VINEYARD (UK) SERVICES LTD,Temporary Accommodation,"£3,000"
1900801966,REDACTED PERSONAL DATA,Children and Education,"£3,000"
8001792761,VINEYARD (UK) SERVICES LTD,Temporary Accommodation,"£3,000"
8001802125,DRS CARE HOMES LTD,Temporary Accommodation,"£3,000"
8001802133,DRS CARE HOMES LTD,Temporary Accommodation,"£3,000"
8001798374,MELROSE HOUSE,Temporary Accommodation,"£3,000"
1900801690,REDACTED PERSONAL DATA,Temporary Accommodation,"£3,000"
1900801909,REDACTED PERSONAL DATA,Temporary Accommodation,"£3,000"
1900800867,TRUST EDUCATION LIMITED,People and Recruitment,"£3,000"
1900800843,EZER LEYOLDOS LTD,Children and Education,"£3,000"
1900801914,REDACTED PERSONAL DATA,Temporary Accommodation,"£3,000"
8001798251,SOMERSET VILLA RESIDENTIAL CARE HOM,Temporary Accommodation,"£3,000"
8001798248,SOMERSET VILLA RESIDENTIAL CARE HOM,Temporary Accommodation,"£3,000"
8001802085,DRS CARE HOMES LTD,Temporary Accommodation,"£3,000"
1900801760,HIGHLAND ESTATES/EXCEL VIEW,Temporary Accommodation,"£3,000"
8001802104,SCIMITAR CARE HOTELS PLC,Temporary Accommodation,"£3,000"
8001802081,DRS CARE HOMES LTD,Temporary Accommodation,"£3,000"
5201137329,ASKEWS & HOLTS LIBRARY SERVICES LTD,Communication,"£2,998"
1900801992,MOYGLEN CONSTRUCTION LTD,"Construction, Property and Fac Man","£2,994"
8001788981,HAIL LTD,Social care,"£2,991"
8001789621,HAIL LTD,Social care,"£2,991"
8001803661,MAGICARE LTD,Temporary Accommodation,"£2,982"
8001764461,SHINE PARTNERSHIPS LTD,Temporary Accommodation,"£2,980"
8001774347,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001776381,ST ALEX LTD,Temporary Accommodation,"£2,975"
8001776541,ST ALEX LTD,Social care,"£2,975"
8001803522,NORTH LONDON BIKUR CHOLIM LTD,Social care,"£2,967"
8001798766,PATERNOSTER HOUSE CARE CENTRE,Temporary Accommodation,"£2,960"
1900801679,REDACTED PERSONAL DATA,People and Recruitment,"£2,960"
8001770921,VINEYARD (UK) SERVICES LTD,Temporary Accommodation,"£2,960"
8001793381,VINEYARD (UK) SERVICES LTD,Temporary Accommodation,"£2,960"
8001793401,VINEYARD (UK) SERVICES LTD,Temporary Accommodation,"£2,960"
8001798769,ROCKLEY DENE HOMES LTD T/A CANDLE C,Temporary Accommodation,"£2,957"
8001766838,XCHANGE PROPERTY SERVICES LTD,"Construction, Property and Fac Man","£2,957"
8001798889,UNIFIED CARE LTD T/A VICTORIA'S CAR,Temporary Accommodation,"£2,953"
5201136759,PACE FUELCARE LTD,Energy and Utilities,"£2,951"
5201136010,INVESTEC ASSET FINANCE PLC,Finance,"£2,950"
8001773861,PREMIER CAREWAITING LTD,Social care,"£2,940"
8001802082,CHITIMALI LOCUM MEDICAL LIMITED,Temporary Accommodation,"£2,940"
8001798378,MAISON MOTI LTD,Temporary Accommodation,"£2,934"
8001802157,ENHAM,Temporary Accommodation,"£2,930"
200343830,HARINGEY SOMALI COMMUNIT & CULTURAL,Social care,"£2,928"
8001769852,THEMICARE LTD,"Construction, Property and Fac Man","£2,924"
8001782602,HAZELDENE CARE & SUPPORT LTD,Social care,"£2,923"
8001766904,ATLANTIC LODGE  LTD,"Construction, Property and Fac Man","£2,923"
8001781341,ST. MICHAEL'S SUPPORT & CARE LIMITE,Temporary Accommodation,"£2,923"
5201137061,BARNARD AND WESTWOOD LTD,General,"£2,923"
5201138003,REDACTED PERSONAL DATA,Public Health,"£2,920"
8001803512,THE SONS OF DIVINE PROVIDENCE,Temporary Accommodation,"£2,919"
8001798212,PARADISE HOUSE ASSOCIATION LTD,Temporary Accommodation,"£2,910"
8001780721,EXTRA MILE CARE COMPANY,Social care,"£2,885"
5201136731,AMBIENT LANDSCAPES LTD,"Construction, Property and Fac Man","£2,882"
5201136878,CC COMMUNICATIONS LTD,IT and Telecoms,"£2,879"
8001803674,MAGICARE LTD,Social care,"£2,879"
5201138087,UNITED GUARDING SERVICES LTD,General,"£2,877"
8001798853,WESTELM HOMES LIMITED,Temporary Accommodation,"£2,876"
8001802054,DRS CARE HOMES LTD,Temporary Accommodation,"£2,872"
8001770861,VINEYARD (UK) SERVICES LTD,Social care,"£2,871"
8001792001,VINEYARD (UK) SERVICES LTD,Social care,"£2,871"
8001792698,VINEYARD (UK) SERVICES LTD,Social care,"£2,871"
5201138067,BARNARD AND WESTWOOD LTD,General,"£2,869"
8001780081,EXTRA MILE CARE COMPANY,Social care,"£2,867"
5201137489,CERTAS ENERGY UK LTD T/A PACE FUELC,Energy and Utilities,"£2,861"
8001798743,NEW CENTURY CARE (FINCHLEY) LTD,Temporary Accommodation,"£2,861"
1900801683,TURKISH CYPRIOT COMMUNITY ASSN.,General,"£2,860"
8001798236,ROYAL MENCAP SOCIETY,Temporary Accommodation,"£2,857"
8001775461,NEXT STEP SUPPORT LTD,Social care,"£2,852"
8001764561,SHINE PARTNERSHIPS LTD,Social care,"£2,849"
8001801997,DRS CARE HOMES LTD,Temporary Accommodation,"£2,840"
8001798780,EASTCROFT NURSING HOME,Temporary Accommodation,"£2,837"
8001774322,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,835"
8001774366,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,835"
8001774363,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,835"
8001774362,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,835"
8001774364,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,835"
8001774361,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,835"
8001774375,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,835"
8001798245,MILLENNIUM CARE LTD,Temporary Accommodation,"£2,828"
8001793081,VINEYARD (UK) SERVICES LTD,Social care,"£2,826"
8001803518,THE REGARD PARTNERSHIP LIMITED,Social care,"£2,822"
1900802305,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£2,820"
1900801019,REDACTED PERSONAL DATA,Legal,"£2,819"
1900802623,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£2,818"
8001794464,GREEN TREES,Temporary Accommodation,"£2,817"
8001787121,CIRCLE OF CARE SERVICE LTD,Social care,"£2,815"
8001772141,CIRCLE OF CARE SERVICE LTD,Social care,"£2,815"
1900801255,CLIFFORD DEVLIN LTD,"Construction, Property and Fac Man","£2,815"
8001803482,QUEEN ANN HOUSE,Temporary Accommodation,"£2,815"
8001798793,BUPA CARE HOMES (ANS) LTD,Temporary Accommodation,"£2,810"
8001801950,ROSS WYLD CARE HOME,Temporary Accommodation,"£2,809"
8001801982,BELMONT HOUSE CARE HOME,Temporary Accommodation,"£2,800"
8001783261,INDIVIDUALISED CARE LTD,Social care,"£2,800"
8001775561,NEXT STEP SUPPORT LTD,Temporary Accommodation,"£2,800"
8001775341,NEXT STEP SUPPORT LTD,Social care,"£2,800"
8001769921,INDIVIDUALISED CARE LTD,Social care,"£2,800"
8001798270,MELROSE HOUSE,Temporary Accommodation,"£2,800"
8001803620,MAGICARE LTD,Temporary Accommodation,"£2,800"
8001786741,DILIGENT CARE SERVICES LTD,Social care,"£2,800"
8001802020,BELMONT HOUSE CARE HOME,Temporary Accommodation,"£2,800"
8001802028,BELMONT HOUSE CARE HOME,Temporary Accommodation,"£2,800"
8001798736,LANCAM NURSING HOME,Temporary Accommodation,"£2,796"
8001803504,SPRINGDENE NURSING & CARE HOMES LTD,Temporary Accommodation,"£2,794"
1900801826,HOMES FOR HARINGEY LIMITED,General,"£2,787"
8001803629,MAGICARE LTD,Temporary Accommodation,"£2,780"
8001803628,ROSEVIEW CARE HOMES,Temporary Accommodation,"£2,780"
8001803648,MAGICARE LTD,Temporary Accommodation,"£2,780"
8001803498,ROSEVIEW CARE HOMES,Temporary Accommodation,"£2,780"
8001783241,INDIVIDUALISED CARE LTD,Social care,"£2,778"
8001775181,SURECARE ENFIELD,Social care,"£2,770"
8001802148,DRS CARE HOMES LTD,Temporary Accommodation,"£2,770"
8001798181,REDACTED PERSONAL DATA,Temporary Accommodation,"£2,767"
8001798215,REDACTED PERSONAL DATA,Temporary Accommodation,"£2,767"
1900802130,THE HR LOUNGE LTD,Public Health,"£2,763"
1900801171,BRITISH GAS BUSINESS,Energy and Utilities,"£2,762"
5201138063,MIDLAND FORESTRY LTD,Public Realm,"£2,761"
8001798744,CARE UK COMMUNITY PARTNERSHIPS LTD,Temporary Accommodation,"£2,761"
8001798714,CARE UK COMMUNITY PARTNERSHIPS LTD,Temporary Accommodation,"£2,761"
8001798713,CARE UK COMMUNITY PARTNERSHIPS LTD,Temporary Accommodation,"£2,761"
8001802031,COOPERSCROFT CARE HOME,Temporary Accommodation,"£2,760"
8001802027,COOPERSCROFT CARE HOME,Temporary Accommodation,"£2,760"
8001802025,COOPERSCROFT CARE HOME,Temporary Accommodation,"£2,760"
8001802022,COOPERSCROFT CARE HOME,Temporary Accommodation,"£2,760"
8001798285,METHODIST HOMES FOR THE AGED,Temporary Accommodation,"£2,760"
8001802108,COOPERSCROFT CARE HOME,Temporary Accommodation,"£2,760"
8001802032,COOPERSCROFT CARE HOME,Temporary Accommodation,"£2,760"
8001802023,COOPERSCROFT CARE HOME,Temporary Accommodation,"£2,760"
8001802024,COOPERSCROFT CARE HOME,Temporary Accommodation,"£2,760"
8001788181,CHRISTIES CARE LTD,Social care,"£2,751"
5201137704,LEISURE MATTERS (UK) LTD,People and Recruitment,"£2,750"
8001801937,ROSS WYLD CARE HOME,Temporary Accommodation,"£2,746"
200343816,STONEWALL HOUSING ASSOCIATION,Social care,"£2,743"
8001798712,BUPA CARE HOMES (ANS) LTD,Temporary Accommodation,"£2,741"
8001798772,BUPA CARE HOMES (ANS) LTD,Temporary Accommodation,"£2,741"
1900801430,HAMPTON'S RESOURCING,People and Recruitment,"£2,736"
8001798697,BROOKLAND HOMES LTD,Temporary Accommodation,"£2,729"
8001801019,REDACTED PERSONAL DATA,Social care,"£2,727"
8001801010,REDACTED PERSONAL DATA,Social care,"£2,727"
5201136982,COLLEGE OF HAR'GY ENF'LD & NE LONDO,Learning and Development,"£2,725"
8001802018,DRS CARE HOMES LTD,Temporary Accommodation,"£2,725"
8001798368,THE ABBEYFIELD NORTH LONDON SOCIETY,Temporary Accommodation,"£2,720"
8001803624,MAGICARE LTD,Temporary Accommodation,"£2,720"
8001803625,MAGICARE LTD,Temporary Accommodation,"£2,720"
8001786181,SHINE PARTNERSHIPS LTD,Social care,"£2,712"
8001803521,NORWOOD SCHOOLS LTD,Temporary Accommodation,"£2,704"
8001778821,DILIGENT CARE SERVICES LTD,Social care,"£2,704"
8001778801,DILIGENT CARE SERVICES LTD,Social care,"£2,704"
8001798203,JANITH HOMES LTD,Temporary Accommodation,"£2,703"
8001803489,MAGICARE LTD,Temporary Accommodation,"£2,700"
8001786161,SHINE PARTNERSHIPS LTD,Temporary Accommodation,"£2,692"
8001782241,PASHUN OUTREACH SERVICES LTD,"Construction, Property and Fac Man","£2,688"
8001798732,BUPA CARE HOMES (ANS) LTD,Temporary Accommodation,"£2,688"
8001802992,ALLPAY LTD,Social care,"£2,685"
1900801231,GORT SCOTT LIMITED,People and Recruitment,"£2,685"
200343850,HARINGEY WOMENS FORUM,Social care,"£2,685"
5201138224,THE MORRIS HOUSE GROUP PRACTICE,Public Health,"£2,680"
8001802060,BAXENDALE WOODSIDE HOME,Temporary Accommodation,"£2,676"
8001798239,METHODIST HOMES FOR THE AGED,Temporary Accommodation,"£2,675"
8001798775,BUPA CARE HOMES (GL) LTD,Temporary Accommodation,"£2,675"
8001798337,GCH PEREGRINE HOUSE LTD,Temporary Accommodation,"£2,668"
8001780442,FISH NEED WATER LTD,Temporary Accommodation,"£2,662"
1900800495,SANCTUARY PERSONNEL LTD,People and Recruitment,"£2,656"
8001798774,SPRINGDENE NURSING & CARE HOMES LTD,Temporary Accommodation,"£2,655"
8001801988,BLOSSOM COMMUNITY CARE,Temporary Accommodation,"£2,652"
5201135800,WALLACESPACE LTD,General,"£2,629"
200343799,EPIC TRUST - SWALLOW HOUSE,Social care,"£2,628"
8001766772,CARE R US LTD T/A KROSSROADS,"Construction, Property and Fac Man","£2,626"
5201138249,HB SUBSIDY SERVICES LIMITED,General,"£2,625"
8001802061,BAXENDALE WOODSIDE HOME,Temporary Accommodation,"£2,620"
8001802038,ST ALEX LTD,Temporary Accommodation,"£2,618"
8001786421,SAPH LTD,Social care,"£2,608"
8001802159,ROSS WYLD CARE HOME,Temporary Accommodation,"£2,600"
8001802099,ASTON GRANGE LTD,Temporary Accommodation,"£2,600"
8001802009,ASTON GRANGE LTD,Temporary Accommodation,"£2,600"
8001798387,THE ABBEYFIELD NORTH LONDON SOCIETY,Temporary Accommodation,"£2,600"
8001803605,MAGICARE LTD,Temporary Accommodation,"£2,600"
8001798379,THE GRANGE,Temporary Accommodation,"£2,600"
8001802065,BROWNLOW ENTERPRISES LTD,Temporary Accommodation,"£2,600"
8001785821,DILIGENT CARE SERVICES LTD,Temporary Accommodation,"£2,600"
8001802090,BROWNLOW ENTERPRISES LTD,Temporary Accommodation,"£2,600"
1900801885,REDACTED PERSONAL DATA,IT and Telecoms,"£2,600"
8001798375,THE GRANGE,Temporary Accommodation,"£2,600"
8001802102,ASTON GRANGE LTD,Temporary Accommodation,"£2,600"
8001798373,THE GRANGE,Temporary Accommodation,"£2,600"
8001788061,KARTEROS LTD T/A ST MARKS DAY SERVI,Social care,"£2,600"
8001802103,ASTON GRANGE LTD,Temporary Accommodation,"£2,600"
1900802176,REDACTED PERSONAL DATA,General,"£2,600"
8001802014,BLOSSOM COMMUNITY CARE,Temporary Accommodation,"£2,600"
8001803619,MAGICARE LTD,Temporary Accommodation,"£2,600"
8001802086,ASTON GRANGE LTD,Temporary Accommodation,"£2,600"
8001803501,MAGICARE LTD,Temporary Accommodation,"£2,600"
8001802066,REDACTED PERSONAL DATA,Temporary Accommodation,"£2,600"
8001798777,BUPA CARE HOMES (ANS) LTD,Temporary Accommodation,"£2,597"
8001774333,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,592"
8001774339,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,592"
8001774323,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,592"
8001774335,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,592"
8001774326,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,592"
8001774345,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,592"
8001774329,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,592"
8001774334,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,592"
8001774324,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,592"
5201136974,HUMANWARE EUROPE LTD,Children and Education,"£2,590"
8001803543,SPRINGDENE NURSING & CARE HOMES LTD,Temporary Accommodation,"£2,589"
1900801314,SANCTUARY PERSONNEL LTD,People and Recruitment,"£2,588"
8001774343,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,581"
8001786201,SHINE PARTNERSHIPS LTD,Social care,"£2,573"
5201137569,SPECIALIST COMPUTER CENTRES PLC,IT and Telecoms,"£2,572"
8001774351,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,571"
8001802080,SURREY COUNTY COUNCIL,Temporary Accommodation,"£2,570"
8001766621,ABBEYDALE RESIDENTIAL CARE HOME,Temporary Accommodation,"£2,569"
8001777821,TURKISH CYPRIOT COMMUNITY ASSN.,Social care,"£2,565"
8001764421,OASIS CARE & TRAINING AGENCY,Social care,"£2,565"
8001798682,BUPA CARE HOMES (BNH) LTD,Temporary Accommodation,"£2,561"
8001798745,BROOKLAND HOMES LTD,Temporary Accommodation,"£2,561"
8001803511,REDACTED PERSONAL DATA,Temporary Accommodation,"£2,559"
8001767321,EXTRA MILE CARE COMPANY,Social care,"£2,559"
200343837,CENTRAL & CECIL HOUSING TRUST,Social care,"£2,552"
8001798347,GCH PEREGRINE HOUSE LTD,Temporary Accommodation,"£2,552"
1900801256,CLIFFORD DEVLIN LTD,"Construction, Property and Fac Man","£2,550"
5201136379,CAPITA BUSINESS SERVICES LTD,IT and Telecoms,"£2,550"
1900800702,REDACTED PERSONAL DATA,Public Realm,"£2,550"
8001802016,CONNIFIERS CARE LIMITED,Temporary Accommodation,"£2,547"
8001763966,OURRIS RESIDENTIAL HOMES LTD,Temporary Accommodation,"£2,546"
8001763962,OURRIS RESIDENTIAL HOMES LTD,Temporary Accommodation,"£2,546"
8001763961,OURRIS RESIDENTIAL HOMES LTD,Temporary Accommodation,"£2,546"
8001763964,OURRIS RESIDENTIAL HOMES LTD,Temporary Accommodation,"£2,546"
8001763963,OURRIS RESIDENTIAL HOMES LTD,Temporary Accommodation,"£2,546"
8001763969,OURRIS RESIDENTIAL HOMES LTD,Temporary Accommodation,"£2,546"
8001763968,OURRIS RESIDENTIAL HOMES LTD,Temporary Accommodation,"£2,546"
8001763965,OURRIS RESIDENTIAL HOMES LTD,Temporary Accommodation,"£2,546"
5201137053,BERNIE GRANT CENTRE PARTNERSHIP LTD,General,"£2,543"
8001775541,NEXT STEP SUPPORT LTD,Temporary Accommodation,"£2,540"
8001798284,QUANTUM CARE LIMITED,Temporary Accommodation,"£2,540"
8001766906,CARE R US LTD T/A KROSSROADS,"Construction, Property and Fac Man","£2,535"
8001801970,BELMONT HOUSE CARE HOME,Temporary Accommodation,"£2,535"
8001803508,REDACTED PERSONAL DATA,Temporary Accommodation,"£2,528"
5201137685,AGE UK HARINGEY,Social care,"£2,525"
5201137686,AGE UK HARINGEY,Social care,"£2,525"
1900801429,HAMPTON'S RESOURCING,People and Recruitment,"£2,518"
8001769101,HAIL LTD,Social care,"£2,517"
8001798884,ST LUCY LODGE,Temporary Accommodation,"£2,516"
8001803581,PARKVIEW HOUSE CARE LTD,Temporary Accommodation,"£2,514"
8001802136,DRS CARE HOMES LTD,Temporary Accommodation,"£2,514"
8001802150,CENTRAL & CECIL HOUSING TRUST,Temporary Accommodation,"£2,514"
8001803651,MAGICARE LTD,Temporary Accommodation,"£2,514"
8001803536,SPRINGDENE NURSING & CARE HOMES LTD,Temporary Accommodation,"£2,513"
5201135987,SPIDDAL PLANT & CONSTRUCTION CO LTD,Public Realm,"£2,510"
200343806,HORNSEY HOUSING TRUST,Social care,"£2,507"
5201135862,ACTORSHOP PRODUCTIONS LTD,Learning and Development,"£2,500"
8001803530,SPRINGDENE NURSING & CARE HOMES LTD,Temporary Accommodation,"£2,497"
8001801940,CONNIFIERS CARE LIMITED,Temporary Accommodation,"£2,497"
5201136972,UNIVERSITY OF WESTMINSTER,Learning and Development,"£2,490"
5201137540,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£2,486"
8001802126,ASTON GRANGE LTD,Temporary Accommodation,"£2,480"
8001798362,GCH PEREGRINE HOUSE LTD,Temporary Accommodation,"£2,480"
8001802084,ASTON GRANGE LTD,Temporary Accommodation,"£2,480"
8001798363,THE HILLINGS LTD,Social care,"£2,480"
8001793301,VINEYARD (UK) SERVICES LTD,Social care,"£2,480"
8001803505,SPRINGDENE NURSING & CARE HOMES LTD,Temporary Accommodation,"£2,479"
8001798692,MULLINVAM LIMITED,Temporary Accommodation,"£2,477"
8001801981,MSASA CARE LTD,Temporary Accommodation,"£2,476"
8001798785,MAGICARE LTD,Temporary Accommodation,"£2,475"
8001798680,BUPA CARE HOMES (ANS) LTD,Temporary Accommodation,"£2,475"
8001782561,LIFEWAYS COMMUNITY CARE LTD,Social care,"£2,470"
1900800739,DISCLOSURE & BARRING SERVICE,People and Recruitment,"£2,464"
8001798750,MAGICARE LTD,Temporary Accommodation,"£2,461"
8001798784,MAGICARE LTD,Temporary Accommodation,"£2,461"
8001798694,MAGICARE LTD,Temporary Accommodation,"£2,461"
8001766893,ATLANTIC LODGE  LTD,"Construction, Property and Fac Man","£2,453"
8001798384,JEWISH CARE,Temporary Accommodation,"£2,453"
8001802155,ALLIANCE CARE AND SUPPORT LTD,Temporary Accommodation,"£2,453"
1900801182,SECURE DATA MANAGEMENT LTD,General,"£2,452"
8001770053,SEVACARE (UK) LTD,Social care,"£2,451"
8001801944,CONNIFIERS CARE LIMITED,Temporary Accommodation,"£2,448"
8001798932,ST LUCY LODGE,Temporary Accommodation,"£2,447"
8001776841,ONE HOUSING GROUP LTD,Social care,"£2,444"
8001798661,MAGICARE LTD,Temporary Accommodation,"£2,441"
1900801917,BT PAYMENT SERVICES LTD,IT and Telecoms,"£2,440"
5201136213,BUNZL UK LTD t/a GREENHAM,General,"£2,438"
8001766741,ABBEYDALE RESIDENTIAL CARE HOME,Temporary Accommodation,"£2,436"
8001763983,BUPA CARE HOMES (ANS) LTD,Temporary Accommodation,"£2,432"
8001763992,BUPA CARE HOMES (ANS) LTD,Temporary Accommodation,"£2,432"
8001763991,BUPA CARE HOMES (ANS) LTD,Temporary Accommodation,"£2,432"
8001763986,BUPA CARE HOMES (ANS) LTD,Temporary Accommodation,"£2,432"
8001763981,BUPA CARE HOMES (ANS) LTD,Temporary Accommodation,"£2,432"
8001763987,BUPA CARE HOMES (ANS) LTD,Temporary Accommodation,"£2,432"
8001763985,BUPA CARE HOMES (ANS) LTD,Temporary Accommodation,"£2,432"
8001763988,BUPA CARE HOMES (ANS) LTD,Temporary Accommodation,"£2,432"
8001763984,BUPA CARE HOMES (ANS) LTD,Temporary Accommodation,"£2,432"
8001763982,BUPA CARE HOMES (ANS) LTD,Temporary Accommodation,"£2,432"
8001763990,BUPA CARE HOMES (ANS) LTD,Temporary Accommodation,"£2,432"
8001763989,BUPA CARE HOMES (ANS) LTD,Temporary Accommodation,"£2,432"
5201135616,BADGER COMPUTER SERVICES LTD,IT and Telecoms,"£2,430"
8001770041,SEVACARE (UK) LTD,Social care,"£2,429"
8001792479,SEVACARE (UK) LTD,Social care,"£2,429"
1900801420,HAVEN HOUSE FOUNDATION,Children and Education,"£2,425"
200343800,CHRISTIAN ACTION HOUSING ASSOCIATIO,Social care,"£2,424"
1900801778,WOODCROFT SCHOOL,Children and Education,"£2,420"
8001798687,NEWSTEAD NURSING HOME,Temporary Accommodation,"£2,417"
8001801994,DRS CARE HOMES LTD,Temporary Accommodation,"£2,416"
5201138012,ADAMS & SUTHERLAND LTD,People and Recruitment,"£2,415"
8001802190,COURTLANDS RESIDENTIAL CARE HOME,Social care,"£2,414"
8001780501,THE PROVIDENCE PROJECTS REHAB GROUP,Social care,"£2,409"
8001798199,JANITH HOMES LTD,Temporary Accommodation,"£2,408"
8001803677,MAGICARE LTD,Social care,"£2,403"
8001803540,SPRINGDENE NURSING & CARE HOMES LTD,Temporary Accommodation,"£2,400"
8001803672,PAULINE HOGAN T/A STIRLINGPARK CARE,Temporary Accommodation,"£2,400"
8001803547,MAGICARE LTD,Temporary Accommodation,"£2,400"
8001803496,PAULINE HOGAN T/A STIRLINGPARK CARE,Temporary Accommodation,"£2,400"
8001802120,ROSS WYLD CARE HOME,Temporary Accommodation,"£2,400"
8001798910,VENTRY RESIDENTIAL CARE LTD,Temporary Accommodation,"£2,400"
