Transaction  No.,Vendor Name,Category,Amount
1900789470,FINEFAIR LTD,Temporary Accommodation,"£3,524"
8001546002,SOMERSET VILLA RESIDENTIAL CARE HOM,Temporary Accommodation,"£3,523"
8001556147,FOREST CARE SERVICES LIMITED,"Construction, Property and Fac Man","£3,521"
8001555864,24 SEVEN FOSTERING SERVICES LTD,Children and Education,"£3,521"
8001555865,24 SEVEN FOSTERING SERVICES LTD,Children and Education,"£3,521"
8001555909,24 SEVEN FOSTERING SERVICES LTD,Children and Education,"£3,521"
8001555816,BLUE SKY FOSTERING LIMITED,Children and Education,"£3,517"
8001544766,ROCKLEY DENE HOMES LTD T/A CANDLE C,Temporary Accommodation,"£3,514"
8001545581,OAK TREE CARE SERVICES LIMITED,Temporary Accommodation,"£3,510"
8001561514,OAK TREE CARE SERVICES LIMITED,Temporary Accommodation,"£3,510"
8001546017,MAPLE CARE AND SUPPORT SERVICES LTD,Temporary Accommodation,"£3,499"
8001560442,CHRISTIES CARE LTD,Social care,"£3,492"
8001555721,PERSON CENTRED CARE HOMES DAY OPPS,Social care,"£3,480"
8001546919,SHERRINGHAM LODGE,Temporary Accommodation,"£3,477"
8001555893,THE FOSTERING FOUNDATION LTD,Children and Education,"£3,476"
8001555894,THE FOSTERING FOUNDATION LTD,Children and Education,"£3,476"
8001546884,THE REGARD PARTNERSHIP LIMITED,Temporary Accommodation,"£3,473"
8001547028,PRIORY GROUP LIMITED,Temporary Accommodation,"£3,473"
8001555948,FOCUS ON FOSTERING LTD,Children and Education,"£3,472"
8001555813,FAMILY MATTERS FOSTERING LTD,Children and Education,"£3,471"
1900781273,REDACTED PERSONAL DATA,"Construction, Property and Fac Man","£3,460"
1900790232,PREMIER CAREWAITING LTD,General,"£3,459"
8001544738,BLOSSOM COMMUNITY CARE,Temporary Accommodation,"£3,454"
8001556005,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£3,454"
1900789926,HOUSING REVIEWS LTD,Legal,"£3,445"
8001555945,FUTURES FOR CHILDREN LIMITED,Children and Education,"£3,441"
8001545161,ST ELIZABETHS CENTRE,Social care,"£3,441"
8001555899,SUPPORTED FOSTERING SERVICES,Children and Education,"£3,440"
8001555900,SUPPORTED FOSTERING SERVICES,Children and Education,"£3,440"
8001555901,SUPPORTED FOSTERING SERVICES,Children and Education,"£3,440"
8001555988,SUPPORTED FOSTERING SERVICES,Children and Education,"£3,440"
8001555840,SUPPORTED FOSTERING SERVICES,Children and Education,"£3,440"
8001555979,SUPPORTED FOSTERING SERVICES,Children and Education,"£3,440"
8001555860,SUPPORTED FOSTERING SERVICES,Children and Education,"£3,437"
5201120508,CRPM CLIENT CLEARING ACCOUNT,"Construction, Property and Fac Man","£3,434"
8001555845,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,433"
8001555849,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,432"
8001555850,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,432"
8001555874,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,432"
8001555935,FOCUS ON FOSTERING LTD,Children and Education,"£3,432"
8001544855,DRS CARE HOMES LTD,Temporary Accommodation,"£3,432"
8001555895,INTEGRATED FOSTERING SERVICES LTD,Children and Education,"£3,431"
8001555896,INTEGRATED FOSTERING SERVICES LTD,Children and Education,"£3,431"
1900788815,ALLFORCARE,General,"£3,430"
8001538244,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,429"
8001555831,FOSTERING OPTIONS LTD,Children and Education,"£3,427"
200337477,DIMENSIONS (UK) LIMITED,Social care,"£3,420"
8001555947,ACORN FOSTERING SERVICES LIMITED,Children and Education,"£3,410"
8001556029,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£3,408"
8001555929,CHILDREN FIRST FOSTERING AGENCY LTD,Children and Education,"£3,406"
8001556043,FOCUSED FOSTERING SERVICE LIMITED,Children and Education,"£3,406"
5201119225,SWEETT (UK) LIMITED,"Construction, Property and Fac Man","£3,400"
5201119746,SWEETT (UK) LIMITED,"Construction, Property and Fac Man","£3,400"
1900790028,HAVEN HOUSE FOUNDATION,General,"£3,395"
1900789988,CLIFFORD DEVLIN LTD,"Construction, Property and Fac Man","£3,390"
5201120457,UNITED GUARDING SERVICES LTD,General,"£3,388"
8001544702,CONNIFIERS CARE LIMITED,Temporary Accommodation,"£3,388"
8001544720,CONNIFIERS CARE LIMITED,Temporary Accommodation,"£3,388"
8001555937,FOCUS ON FOSTERING LTD,Children and Education,"£3,377"
8001555926,FOCUS ON FOSTERING LTD,Children and Education,"£3,377"
5201119607,POTTER RAPER PARTNERSHIP,Public Realm,"£3,376"
1900788816,ALLFORCARE,General,"£3,373"
8001556047,FOCUS ON FOSTERING LTD,Children and Education,"£3,372"
8001556011,ST CHRISTOPHER'S FELLOWSHIP,Children and Education,"£3,366"
8001546007,SOMERSET VILLA RESIDENTIAL CARE HOM,Temporary Accommodation,"£3,366"
8001556125,SILVER BIRCH CARE LTD,"Construction, Property and Fac Man","£3,361"
200337501,HORNSEY YMCA,Social care,"£3,360"
8001544754,WOODSIDE HOME,Temporary Accommodation,"£3,357"
8001545561,OAK TREE CARE SERVICES LIMITED,Social care,"£3,356"
8001552061,OAK TREE CARE SERVICES LIMITED,Social care,"£3,356"
200337446,NEWHAM ASIAN WOMENS' PROJECT,Social care,"£3,356"
8001555822,FOSTERCARE UK LTD,Children and Education,"£3,349"
8001545237,VENETIA RESIDENTIAL CARE HOME,Temporary Accommodation,"£3,348"
8001555902,24 SEVEN FOSTERING SERVICES LTD,Children and Education,"£3,344"
8001555903,24 SEVEN FOSTERING SERVICES LTD,Children and Education,"£3,344"
8001555981,TALAWA FOSTERING SERVICES LTD,Children and Education,"£3,344"
8001556024,CHILDREN FIRST FOSTERING AGENCY LTD,Children and Education,"£3,337"
8001555875,CARE ADMIN & MANAGEMENT SERVICE LTD,Children and Education,"£3,329"
8001556030,CARE ADMIN & MANAGEMENT SERVICE LTD,Children and Education,"£3,329"
8001546948,NAS SERVICES LTD,Social care,"£3,325"
8001544723,MAPLE CARE AND SUPPORT SERVICES LTD,Temporary Accommodation,"£3,321"
8001544757,DRS CARE HOMES LTD,Temporary Accommodation,"£3,321"
8001544774,DRS CARE HOMES LTD,Temporary Accommodation,"£3,321"
8001544779,DRS CARE HOMES LTD,Temporary Accommodation,"£3,321"
8001544798,SCIMITAR CARE HOTELS PLC,Temporary Accommodation,"£3,321"
8001544824,DRS CARE HOMES LTD,Temporary Accommodation,"£3,321"
8001544825,DRS CARE HOMES LTD,Temporary Accommodation,"£3,321"
8001544833,DRS CARE HOMES LTD,Temporary Accommodation,"£3,321"
8001546001,SOMERSET VILLA RESIDENTIAL CARE HOM,Temporary Accommodation,"£3,321"
8001546006,SOMERSET VILLA RESIDENTIAL CARE HOM,Temporary Accommodation,"£3,321"
8001546985,SPRINGDENE NURSING & CARE HOMES LTD,Temporary Accommodation,"£3,321"
8001555819,THE FOSTERING FOUNDATION LTD,Children and Education,"£3,321"
8001555851,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,321"
8001555852,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,321"
8001555853,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,321"
8001555856,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,321"
8001555869,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,321"
8001555871,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,321"
8001555873,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,321"
8001555884,24 SEVEN FOSTERING SERVICES LTD,Children and Education,"£3,321"
8001555925,RAINBOW FOSTERING SERVICES LTD,Children and Education,"£3,321"
8001555975,24 SEVEN FOSTERING SERVICES LTD,Children and Education,"£3,317"
8001555982,24 SEVEN FOSTERING SERVICES LTD,Children and Education,"£3,317"
8001555891,GREATER LONDON FOSTERING LTD,Children and Education,"£3,316"
8001555892,GREATER LONDON FOSTERING LTD,Children and Education,"£3,316"
8001555998,GREATER LONDON FOSTERING LTD,Children and Education,"£3,316"
8001555999,GREATER LONDON FOSTERING LTD,Children and Education,"£3,316"
8001556025,GREATER LONDON FOSTERING LTD,Children and Education,"£3,316"
8001556028,GREATER LONDON FOSTERING LTD,Children and Education,"£3,316"
8001555847,GREATER LONDON FOSTERING LTD,Children and Education,"£3,315"
8001555890,GREATER LONDON FOSTERING LTD,Children and Education,"£3,315"
8001555916,CHILDREN FIRST FOSTERING AGENCY LTD,Children and Education,"£3,303"
8001555917,CHILDREN FIRST FOSTERING AGENCY LTD,Children and Education,"£3,303"
8001545901,VINEYARD (UK) SERVICES LTD,Social care,"£3,299"
8001546935,NORTH LONDON BIKUR CHOLIM LTD,Social care,"£3,285"
1900789987,CLIFFORD DEVLIN LTD,"Construction, Property and Fac Man","£3,280"
5201119757,ASKEWS & HOLTS LIBRARY SERVICES LTD,Communication,"£3,278"
8001555826,FIVE RIVERS CHILD CARE LTD,Children and Education,"£3,277"
8001555827,FIVE RIVERS CHILD CARE LTD,Children and Education,"£3,277"
8001555843,FIVE RIVERS CHILD CARE LTD,Children and Education,"£3,277"
8001555880,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,277"
8001555881,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,277"
8001555882,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,277"
8001555883,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,277"
8001555904,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,277"
5201118048,REDACTED PERSONAL DATA,Legal,"£3,275"
5201119282,NORTH LONDON CATERING EQUIPMENT LTD,Food and Drink,"£3,275"
8001555989,LINK FOSTERING AGENCY LIMITED,Children and Education,"£3,271"
8001545206,UNIFIED CARE LTD,Temporary Accommodation,"£3,269"
8001545621,HAZELDENE CARE & SUPPORT LTD,Social care,"£3,269"
8001556031,FOSTER CARE LINK LTD,Children and Education,"£3,256"
8001555815,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£3,255"
8001555973,TALAWA FOSTERING SERVICES LTD,Children and Education,"£3,255"
8001556000,SUPPORTED FOSTERING SERVICES,Children and Education,"£3,255"
8001556010,ALLIANCE FOSTER CARE LIMITED,Children and Education,"£3,255"
8001544775,CHITIMALI LOCUM MEDICAL LIMITED,Temporary Accommodation,"£3,255"
8001555836,GREATER LONDON FOSTERING LTD,Children and Education,"£3,254"
1900788893,REDACTED PERSONAL DATA,Legal,"£3,250"
1900789430,AMEO LIMITED,People and Recruitment,"£3,250"
1900790111,AMEO LIMITED,People and Recruitment,"£3,250"
8001546543,VINEYARD (UK) SERVICES LTD,Social care,"£3,250"
8001555861,RYANCARE FOSTERING LTD,Children and Education,"£3,233"
8001555809,NEXUS FOSTERING LIMITED,Children and Education,"£3,233"
8001555812,HILLCREST CARE SERVICES LTD,Children and Education,"£3,233"
8001555846,RYANCARE FOSTERING LTD,Children and Education,"£3,233"
8001555870,RYANCARE FOSTERING LTD,Children and Education,"£3,233"
8001555878,RYANCARE FOSTERING LTD,Children and Education,"£3,233"
8001555885,CARE ADMIN & MANAGEMENT SERVICE LTD,Children and Education,"£3,233"
8001555934,24 SEVEN FOSTERING SERVICES LTD,Children and Education,"£3,233"
8001555955,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,233"
8001555960,RYANCARE FOSTERING LTD,Children and Education,"£3,233"
8001555967,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,233"
8001555980,TALAWA FOSTERING SERVICES LTD,Children and Education,"£3,233"
8001555983,RYANCARE FOSTERING LTD,Children and Education,"£3,233"
8001555987,HILLCREST CARE SERVICES LTD,Children and Education,"£3,233"
8001556017,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,233"
8001556018,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,233"
8001556020,CARE ADMIN & MANAGEMENT SERVICE LTD,Children and Education,"£3,233"
8001556021,CARE ADMIN & MANAGEMENT SERVICE LTD,Children and Education,"£3,233"
8001556040,TACT,Children and Education,"£3,233"
8001556041,RYANCARE FOSTERING LTD,Children and Education,"£3,233"
8001546925,THE SONS OF DIVINE PROVIDENCE,Temporary Accommodation,"£3,232"
5201117928,PARAGON GROUP UK LIMITED,Communication,"£3,231"
1900789278,B & L COACHES,Travel,"£3,230"
8001547010,SPRINGDENE NURSING & CARE HOMES LTD,Temporary Accommodation,"£3,226"
200337467,NIA PROJECT,Social care,"£3,226"
8001545959,PARADISE HOUSE ASSOCIATION LTD,Temporary Accommodation,"£3,222"
5201117017,HOBART UK,Food and Drink,"£3,221"
8001544361,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,214"
8001544364,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,214"
8001544365,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,214"
8001544366,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,214"
8001544367,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,214"
8001544368,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,214"
8001544370,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,214"
8001544377,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,214"
8001544386,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£3,214"
8001546151,MAGICARE LTD,Social care,"£3,214"
8001555867,OUTLOOK FOSTERING SERVICES LTD,Children and Education,"£3,211"
8001555804,SUNBEAM FOSTERING AGENCY LTD,Children and Education,"£3,211"
8001555888,SUNBEAM FOSTERING AGENCY LTD,Children and Education,"£3,211"
8001555889,SUNBEAM FOSTERING AGENCY LTD,Children and Education,"£3,211"
8001555964,FUTURE FOSTERING LTD,Children and Education,"£3,211"
8001555996,SUNBEAM FOSTERING AGENCY LTD,Children and Education,"£3,211"
8001555997,SUNBEAM FOSTERING AGENCY LTD,Children and Education,"£3,211"
8001556037,FUTURE FOSTERING LTD,Children and Education,"£3,211"
8001546957,SPRINGDENE NURSING & CARE HOMES LTD,Temporary Accommodation,"£3,211"
1900790586,NPS GROUP LTD,"Construction, Property and Fac Man","£3,210"
5201119796,DAVENPORT VANE LTD,People and Recruitment,"£3,210"
8001556048,GREATER LONDON FOSTERING LTD,Children and Education,"£3,209"
8001516461,VINEYARD (UK) SERVICES LTD,Temporary Accommodation,"£3,203"
8001552081,VINEYARD (UK) SERVICES LTD,Temporary Accommodation,"£3,203"
8001555837,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,202"
8001555912,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,202"
8001555990,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,202"
8001555991,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,202"
8001555992,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,202"
1900781212,REDACTED PERSONAL DATA,"Construction, Property and Fac Man","£3,200"
8001559021,KARTEROS LTD T/A ST MARKS DAY SERVI,Social care,"£3,200"
8001559022,KARTEROS LTD T/A ST MARKS DAY SERVI,Social care,"£3,200"
8001556004,FOCUS ON FOSTERING LTD,Children and Education,"£3,199"
8001559961,PRECIOUS HOMES LTD,Temporary Accommodation,"£3,192"
200337483,KURDISH COMMUNITY CENTRE,Social care,"£3,190"
5201118183,CAPITA BUSINESS SERVICES LTD,IT and Telecoms,"£3,180"
8001555976,XCEL 2000 FOSTERCARE SERVICES LTD,Children and Education,"£3,180"
8001555977,XCEL 2000 FOSTERCARE SERVICES LTD,Children and Education,"£3,180"
8001544744,DRS CARE HOMES LTD,Temporary Accommodation,"£3,180"
5201119788,BITE CP LTD,Communication,"£3,168"
8001555833,PHOENIX COMMUNITY CARE LTD,Children and Education,"£3,166"
8001555834,PHOENIX COMMUNITY CARE LTD,Children and Education,"£3,166"
8001555835,PHOENIX COMMUNITY CARE LTD,Children and Education,"£3,166"
8001555972,TALAWA FOSTERING SERVICES LTD,Children and Education,"£3,166"
8001545988,ROYAL MENCAP SOCIETY,Temporary Accommodation,"£3,163"
8001555859,PHOENIX COMMUNITY CARE LTD,Children and Education,"£3,162"
8001556012,PHOENIX COMMUNITY CARE LTD,Children and Education,"£3,162"
8001556013,PHOENIX COMMUNITY CARE LTD,Children and Education,"£3,162"
8001556014,PHOENIX COMMUNITY CARE LTD,Children and Education,"£3,162"
8001555984,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£3,157"
8001555985,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£3,157"
8001555986,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£3,157"
8001556003,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£3,157"
8001545164,WESTELM HOMES LIMITED,Temporary Accommodation,"£3,153"
1900789338,STATEBOND LTD T/A HORNSEY AGENCIES,Temporary Accommodation,"£3,152"
1900788931,COLDFALL PRIMARY SCHOOL,Children and Education,"£3,150"
1900789425,AMEO LIMITED,People and Recruitment,"£3,150"
1900789426,AMEO LIMITED,People and Recruitment,"£3,150"
1900789427,AMEO LIMITED,People and Recruitment,"£3,150"
8001556049,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£3,150"
8001544679,DRS CARE HOMES LTD,Temporary Accommodation,"£3,145"
8001555887,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,144"
8001555970,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,144"
5201120213,SAFETYNET SOLUTIONS LTD,Communication,"£3,141"
8001558943,EXTRA MILE CARE COMPANY,Social care,"£3,137"
1900790481,APOLLO & CO LLP,Temporary Accommodation,"£3,132"
8001555810,TACT,Children and Education,"£3,131"
8001555841,TACT,Children and Education,"£3,131"
8001555844,TACT,Children and Education,"£3,131"
8001555910,TACT,Children and Education,"£3,131"
8001556036,TACT,Children and Education,"£3,131"
8001556152,SILVER BIRCH CARE LTD,"Construction, Property and Fac Man","£3,127"
8001556155,SILVER BIRCH CARE LTD,"Construction, Property and Fac Man","£3,127"
1900790101,REDACTED PERSONAL DATA,Legal,"£3,125"
8001546931,THE REGARD PARTNERSHIP LIMITED,Social care,"£3,125"
5201118379,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£3,125"
8001545928,WEST LONDON MISSION,Temporary Accommodation,"£3,118"
1900790397,CONNECT PUBLIC AFFAIRS LIMITED,General,"£3,117"
8001544624,ROSS WYLD CARE HOME,Temporary Accommodation,"£3,110"
8001555966,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£3,105"
8001556019,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£3,105"
8001544661,BELMONT HOUSE CARE HOME,Temporary Accommodation,"£3,100"
8001544705,BELMONT HOUSE CARE HOME,Temporary Accommodation,"£3,100"
8001544715,BELMONT HOUSE CARE HOME,Temporary Accommodation,"£3,100"
8001544801,THE BARN HOUSE,Temporary Accommodation,"£3,100"
8001546028,MELROSE HOUSE,Temporary Accommodation,"£3,100"
8001555823,TIME FOR CHILDREN LIMITED,Children and Education,"£3,100"
8001555862,CARE ADMIN & MANAGEMENT SERVICE LTD,Children and Education,"£3,100"
8001555863,CARE ADMIN & MANAGEMENT SERVICE LTD,Children and Education,"£3,100"
8001555876,CARE ADMIN & MANAGEMENT SERVICE LTD,Children and Education,"£3,100"
8001555923,INTEGRATED FOSTERING SERVICES LTD,Children and Education,"£3,100"
8001555924,INTEGRATED FOSTERING SERVICES LTD,Children and Education,"£3,100"
8001556007,SUPPORTED FOSTERING SERVICES,Children and Education,"£3,096"
8001556008,SUPPORTED FOSTERING SERVICES,Children and Education,"£3,096"
8001547045,MAGICARE LTD,Temporary Accommodation,"£3,089"
200337451,HORNSEY HOUSING TRUST,Social care,"£3,087"
8001546902,QUEEN ANN HOUSE,Temporary Accommodation,"£3,086"
8001546821,THE REGARD PARTNERSHIP LIMITED,Temporary Accommodation,"£3,079"
8001545233,ROSEVIEW CARE HOMES,Temporary Accommodation,"£3,078"
8001547054,MAGICARE LTD,Temporary Accommodation,"£3,078"
8001547065,ROSEVIEW CARE HOMES,Temporary Accommodation,"£3,078"
8001555941,RYANCARE FOSTERING LTD,Children and Education,"£3,078"
8001556023,RYANCARE FOSTERING LTD,Children and Education,"£3,078"
8001545921,VINEYARD (UK) SERVICES LTD,Temporary Accommodation,"£3,066"
8001545964,REDACTED PERSONAL DATA,Temporary Accommodation,"£3,064"
8001545922,REDACTED PERSONAL DATA,Temporary Accommodation,"£3,064"
1900790230,PREMIER CAREWAITING LTD,General,"£3,063"
8001545963,REDACTED PERSONAL DATA,Temporary Accommodation,"£3,063"
200337499,SOLACE WOMEN'S AID,Social care,"£3,060"
8001555921,TALAWA FOSTERING SERVICES LTD,Children and Education,"£3,056"
8001555922,TALAWA FOSTERING SERVICES LTD,Children and Education,"£3,056"
8001544707,COOPERSCROFT CARE HOME,Temporary Accommodation,"£3,056"
8001544708,COOPERSCROFT CARE HOME,Temporary Accommodation,"£3,056"
8001544709,COOPERSCROFT CARE HOME,Temporary Accommodation,"£3,056"
8001544710,COOPERSCROFT CARE HOME,Temporary Accommodation,"£3,056"
8001544711,COOPERSCROFT CARE HOME,Temporary Accommodation,"£3,056"
8001544712,COOPERSCROFT CARE HOME,Temporary Accommodation,"£3,056"
8001544713,COOPERSCROFT CARE HOME,Temporary Accommodation,"£3,056"
8001544714,COOPERSCROFT CARE HOME,Temporary Accommodation,"£3,056"
8001544718,COOPERSCROFT CARE HOME,Temporary Accommodation,"£3,056"
8001544719,COOPERSCROFT CARE HOME,Temporary Accommodation,"£3,056"
8001544804,COOPERSCROFT CARE HOME,Temporary Accommodation,"£3,056"
8001556026,FOSTER CARE ASSOCIATES LIMITED,Children and Education,"£3,053"
5201119444,SOUTHERN LANDSCAPE AND CONSTRUCTION,"Construction, Property and Fac Man","£3,050"
1900790187,PLEXUS LAW (OFFICE ACCOUNT),Finance,"£3,042"
8001555854,KENT HOMEFINDING AND FOSTERING LTD,Children and Education,"£3,041"
8001555858,KENT HOMEFINDING AND FOSTERING LTD,Children and Education,"£3,041"
8001555953,KENT HOMEFINDING AND FOSTERING LTD,Children and Education,"£3,041"
8001544610,ROSS WYLD CARE HOME,Temporary Accommodation,"£3,040"
1900790351,STREETZ AHEAD UNLIMITED,Children and Education,"£3,038"
8001555965,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£3,037"
8001555914,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£3,037"
8001555907,WELLCARE FOSTERING SERVICES LIMITED,Children and Education,"£3,034"
8001555908,WELLCARE FOSTERING SERVICES LIMITED,Children and Education,"£3,034"
8001555911,WELLCARE FOSTERING SERVICES LIMITED,Children and Education,"£3,034"
8001542268,SEVACARE (UK) LTD,Social care,"£3,032"
5201119181,REDACTED PERSONAL DATA,General,"£3,019"
8001544703,DRS CARE HOMES LTD,Temporary Accommodation,"£3,017"
8001546999,PRECIOUS HOMES LTD,Temporary Accommodation,"£3,011"
8001547050,MAGICARE LTD,Temporary Accommodation,"£3,011"
8001547051,MAGICARE LTD,Temporary Accommodation,"£3,011"
8001555994,NEXUS FOSTERING LIMITED,Children and Education,"£3,011"
8001556002,CARE ADMIN & MANAGEMENT SERVICE LTD,Children and Education,"£3,011"
8001555918,CARE ADMIN & MANAGEMENT SERVICE LTD,Children and Education,"£3,011"
8001543702,SHINE PARTNERSHIPS LTD,Social care,"£3,003"
8001552942,SHINE PARTNERSHIPS LTD,Social care,"£3,003"
1900789400,HOMERTON UNI HOSP NHS FOUNDATION TR,Social care,"£3,000"
1900789810,NEW SQUARE CHANBERS LTD,Legal,"£3,000"
1900790419,ABGM SOLICITORS LTD,General,"£3,000"
8001545148,ST ALEX LTD,Temporary Accommodation,"£3,000"
8001546542,VINEYARD (UK) SERVICES LTD,Temporary Accommodation,"£3,000"
8001546934,NORWOOD SCHOOLS LTD,Temporary Accommodation,"£2,994"
8001546861,CONSENSA CARE LTD,Social care,"£2,994"
5201118163,ELIESHA TRAINING LIMITED,Learning and Development,"£2,990"
8001546907,MAGICARE LTD,Temporary Accommodation,"£2,989"
5201119091,UNITED GUARDING SERVICES LTD,General,"£2,984"
8001545997,MILLENNIUM CARE LTD,Temporary Accommodation,"£2,982"
8001543701,SHINE PARTNERSHIPS LTD,Temporary Accommodation,"£2,980"
8001552941,SHINE PARTNERSHIPS LTD,Temporary Accommodation,"£2,980"
8001544321,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001544322,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001544327,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001544330,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001544331,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001544334,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001544335,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001544336,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001544337,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001544338,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001544343,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001544344,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001544345,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001544347,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001544349,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001544350,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001544351,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001544353,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001544356,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001544358,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001544359,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001544362,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001544369,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001544371,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001544372,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001544373,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001544384,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,979"
8001555931,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£2,977"
5201119603,SAFER LONDON FOUNDATION,Children and Education,"£2,970"
8001544750,WOODSIDE HOME,Temporary Accommodation,"£2,963"
8001546541,VINEYARD (UK) SERVICES LTD,Temporary Accommodation,"£2,960"
8001544363,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,958"
8001544375,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,958"
8001544378,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£2,958"
8001556362,XCHANGE PROPERTY SERVICES LTD,"Construction, Property and Fac Man","£2,957"
8001545931,GCH PEREGRINE HOUSE LTD,Temporary Accommodation,"£2,954"
5201118058,XEROX FINANCE LTD,IT and Telecoms,"£2,953"
5201119936,XEROX (UK) LTD,IT and Telecoms,"£2,953"
5201119184,EXPOSURE ORGANISATION LTD,General,"£2,950"
8001547081,SPRINGDENE NURSING & CARE HOMES LTD,Temporary Accommodation,"£2,949"
8001549923,PREMIER CAREWAITING LTD,Social care,"£2,940"
8001557423,PREMIER CAREWAITING LTD,Social care,"£2,940"
